Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Nigeria,NGA,28259056,42603694,72230102,75664344,79214960,82878565,86652535,90531026,94518523,98611151,102806950,107106007
Urban population,SP.URB.TOTL,North Macedonia,MKD,1153594,1186387,1175261,1177371,1180399,1184330,1188475,1192987,1197983,1203438,1208802,1212058
Urban population,SP.URB.TOTL,Northern Mariana Islands,MNP,41054,51795,49167,49477,49959,50475,50958,51379,51763,52121,52469,52836
Urban population,SP.URB.TOTL,Norway,NOR,3051994,3414033,3935476,4008535,4078226,4145335,4207493,4265348,4320306,4368945,4418218,4463566
Urban population,SP.URB.TOTL,Oman,OMN,1197873,1623166,2476787,2713213,2969753,3227644,3471482,3695354,3898848,4082791,4250782,4405789
Urban population,SP.URB.TOTL,Pakistan,PAK,32914427,46947761,64539406,66312147,68113708,69956302,71845554,73783786,75765181,77815624,79927762,82094635
Urban population,SP.URB.TOTL,Palau,PLW,10483,13437,13402,13437,13530,13662,13807,13957,14134,14316,14485,14652
Urban population,SP.URB.TOTL,Panama,PAN,1331914,1884807,2425409,2478853,2533389,2589339,2646824,2705929,2766522,2828116,2890085,2951905
Urban population,SP.URB.TOTL,Papua New Guinea,PNG,692099,772116,971385,990657,1010777,1032122,1054983,1079465,1105552,1133367,1162836,1193981
Urban population,SP.URB.TOTL,Paraguay,PRY,2056549,2945381,3774039,3846934,3918989,3990996,4063413,4136268,4209507,4283895,4359152,4435221
Urban population,SP.URB.TOTL,Peru,PER,15207438,19326872,22421439,22662395,22922694,23221643,23571250,23979739,24438509,24921877,25390346,25815966
Urban population,SP.URB.TOTL,Philippines,PHL,29082064,35981497,43505398,44437842,45385011,46329520,47262076,48177757,49096823,50026969,50975906,51950201
Urban population,SP.URB.TOTL,Poland,POL,23350476,23611695,23134846,23086831,23025350,22960228,22897449,22849639,22824769,22806875,22793332,22786800
Urban population,SP.URB.TOTL,Portugal,PRT,4783459,5597602,6457743,6494283,6520333,6546012,6578828,6617169,6659350,6706183,6764658,6833619
