Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Fiji,FJI,1.001955873,1.048074564,1.285539075,1.190661973,1.305449849,1.511921676,1.738365614,1.99448422,2.062772092,2.150561976,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Finland,FIN,10.94169357,10.64485611,10.22962464,9.126388006,9.227846733,8.451871936,7.814537412,8.318012674,7.808338601,8.04275205,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,France,FRA,6.122359687,6.12747794,5.104312275,5.12231119,5.10055617,4.592376829,4.666086597,4.686612202,4.727575622,4.619241205,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,French Polynesia,PYF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Gabon,GAB,4.349689782,3.801820152,3.347918147,3.332043571,3.136918225,2.919628984,2.813589432,2.843792613,2.276236287,2.175272204,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Gambia, The",GMB,0.198829002,0.182134433,0.243487784,0.241467281,0.2240659,0.2569123,0.254091837,0.246610961,0.243913456,0.249989913,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Georgia,GEO,6.974177426,1.169940333,1.735685453,1.928196018,2.108848881,2.277240447,2.469615674,2.58886306,2.583151735,2.538541691,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Germany,DEU,12.02660923,10.09688327,9.29779082,9.449949925,9.642558947,9.10678233,9.087290939,9.073006389,8.858293699,8.558389812,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ghana,GHA,0.188854549,0.297735601,0.480941312,0.546997679,0.564123667,0.527833773,0.543283052,0.495401526,0.507529429,0.541201382,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Gibraltar,GIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
